date,DC power:kWh,direct_rad:W,diffuse_rad:W,global_rad:W,clear_sky_rad:W,sunshine_duration_24h:p,uv:idx,sun_azimuth:d,sun_elevation:d
09.01.25 00:00,0.0,0,0,0,0,1,0,14.5,-64.3
09.01.25 00:05,0.0,0,0,0,0,0,0,17.1,-64
09.01.25 00:10,0.0,0,0,0,0,0,0,19.7,-63.8
09.01.25 00:15,0.0,0,0,0,0,0,0,22.2,-63.5
09.01.25 00:20,0.0,0,0,0,0,0,0,24.6,-63.1
09.01.25 00:25,0.0,0,0,0,0,0,0,27,-62.7
09.01.25 00:30,0.0,0,0,0,0,0,0,29.4,-62.3
09.01.25 00:35,0.0,0,0,0,0,0,0,31.7,-61.9
09.01.25 00:40,0.0,0,0,0,0,0,0,33.9,-61.5
09.01.25 00:45,0.0,0,0,0,0,0,0,36.1,-61
09.01.25 00:50,0.0,0,0,0,0,0,0,38.2,-60.5
09.01.25 00:55,0.0,0,0,0,0,1,0,40.3,-59.9
09.01.25 01:00,0.0,0,0,0,0,1,0,42.3,-59.4
09.01.25 01:05,0.0,0,0,0,0,0,0,44.3,-58.8
09.01.25 01:10,0.0,0,0,0,0,0,0,46.1,-58.2
09.01.25 01:15,0.0,0,0,0,0,0,0,48,-57.6
09.01.25 01:20,0.0,0,0,0,0,0,0,49.8,-56.9
09.01.25 01:25,0.0,0,0,0,0,0,0,51.5,-56.3
09.01.25 01:30,0.0,0,0,0,0,0,0,53.2,-55.6
09.01.25 01:35,0.0,0,0,0,0,0,0,54.8,-54.9
09.01.25 01:40,0.0,0,0,0,0,0,0,56.4,-54.2
09.01.25 01:45,0.0,0,0,0,0,0,0,58,-53.5
09.01.25 01:50,0.0,0,0,0,0,0,0,59.5,-52.8
09.01.25 01:55,0.0,0,0,0,0,1,0,60.9,-52
09.01.25 02:00,0.0,0,0,0,0,1,0,62.4,-51.3
09.01.25 02:05,0.0,0,0,0,0,0,0,63.7,-50.5
09.01.25 02:10,0.0,0,0,0,0,0,0,65.1,-49.8
09.01.25 02:15,0.0,0,0,0,0,0,0,66.4,-49
09.01.25 02:20,0.0,0,0,0,0,0,0,67.7,-48.2
09.01.25 02:25,0.0,0,0,0,0,0,0,69,-47.4
09.01.25 02:30,0.0,0,0,0,0,0,0,70.2,-46.6
09.01.25 02:35,0.0,0,0,0,0,0,0,71.4,-45.8
09.01.25 02:40,0.0,0,0,0,0,0,0,72.6,-45
09.01.25 02:45,0.0,0,0,0,0,0,0,73.8,-44.2
09.01.25 02:50,0.0,0,0,0,0,0,0,74.9,-43.4
09.01.25 02:55,0.0,0,0,0,0,1,0,76,-42.6
09.01.25 03:00,0.0,0,0,0,0,1,0,77.1,-41.7
09.01.25 03:05,0.0,0,0,0,0,0,0,78.2,-40.9
09.01.25 03:10,0.0,0,0,0,0,0,0,79.2,-40.1
09.01.25 03:15,0.0,0,0,0,0,0,0,80.3,-39.2
09.01.25 03:20,0.0,0,0,0,0,0,0,81.3,-38.4
09.01.25 03:25,0.0,0,0,0,0,0,0,82.3,-37.6
09.01.25 03:30,0.0,0,0,0,0,0,0,83.3,-36.7
09.01.25 03:35,0.0,0,0,0,0,0,0,84.3,-35.9
09.01.25 03:40,0.0,0,0,0,0,0,0,85.3,-35
09.01.25 03:45,0.0,0,0,0,0,0,0,86.2,-34.2
09.01.25 03:50,0.0,0,0,0,0,0,0,87.2,-33.3
09.01.25 03:55,0.0,0,0,0,0,1,0,88.1,-32.5
09.01.25 04:00,0.0,0,0,0,0,1,0,89.1,-31.6
09.01.25 04:05,0.0,0,0,0,0,0,0,90,-30.8
09.01.25 04:10,0.0,0,0,0,0,0,0,90.9,-29.9
09.01.25 04:15,0.0,0,0,0,0,0,0,91.8,-29.1
09.01.25 04:20,0.0,0,0,0,0,0,0,92.7,-28.2
09.01.25 04:25,0.0,0,0,0,0,0,0,93.6,-27.4
09.01.25 04:30,0.0,0,0,0,0,0,0,94.5,-26.6
09.01.25 04:35,0.0,0,0,0,0,0,0,95.4,-25.7
09.01.25 04:40,0.0,0,0,0,0,0,0,96.2,-24.9
09.01.25 04:45,0.0,0,0,0,0,0,0,97.1,-24
09.01.25 04:50,0.0,0,0,0,0,0,0,98,-23.2
09.01.25 04:55,0.0,0,0,0,0,1,0,98.8,-22.3
09.01.25 05:00,0.0,0,0,0,0,1,0,99.7,-21.5
09.01.25 05:05,0.0,0,0,0,0,0,0,100.6,-20.7
09.01.25 05:10,0.0,0,0,0,0,0,0,101.4,-19.8
09.01.25 05:15,0.0,0,0,0,0,0,0,102.3,-19
09.01.25 05:20,0.0,0,0,0,0,0,0,103.1,-18.2
09.01.25 05:25,0.0,0,0,0,0,0,0,104,-17.4
09.01.25 05:30,0.0,0,0,0,0,0,0,104.8,-16.5
09.01.25 05:35,0.0,0,0,0,0,0,0,105.7,-15.7
09.01.25 05:40,0.0,0,0,0,0,0,0,106.5,-14.9
09.01.25 05:45,0.0,0,0,0,0,0,0,107.4,-14.1
09.01.25 05:50,0.0,0,0,0,0,0,0,108.3,-13.3
09.01.25 05:55,0.0,0,0,0,0,1,0,109.1,-12.5
09.01.25 06:00,0.0,0,0,0,0,1,0,110,-11.7
09.01.25 06:05,0.0,0,0,0,0,0,0,110.8,-10.9
09.01.25 06:10,0.0,0,0,0,0,0,0,111.7,-10.1
09.01.25 06:15,0.0,0,0,0,0,0,0,112.6,-9.3
09.01.25 06:20,0.0,0,0,0,0,0,0,113.4,-8.5
09.01.25 06:25,0.0,0,0,0,0,0,0,114.3,-7.7
09.01.25 06:30,0.0,0,0,0,0,0,0,115.2,-7
09.01.25 06:35,0.0,0,0,0,0,0,0,116,-6.2
09.01.25 06:40,0.0,0,0,0,0,0,0,116.9,-5.4
09.01.25 06:45,0.0,0,0,0,0,0,0,117.8,-4.7
09.01.25 06:50,0.0,0,0,0,0,0,0,118.7,-3.9
09.01.25 06:55,0.0,0,0,0,0,1,0,119.6,-3.2
09.01.25 07:00,0.0,0,0,0,0,1,0,120.5,-2.5
09.01.25 07:05,0.0,0,0,0,0,0,0,121.4,-1.7
09.01.25 07:10,0.0,0,0,0,0,0,0,122.3,-1
09.01.25 07:15,0.0,0,0,0,1.6,0,0,123.2,0.2
09.01.25 07:20,0.0,0,2.8,2.8,6.1,0,0,124.1,0.8
09.01.25 07:25,0.0,0,7.1,7.1,10.7,0,0,125,1.4
09.01.25 07:30,0.0,0,12.3,12.3,15.5,0,0,126,2.1
09.01.25 07:35,0.0,0,15.8,15.8,20.6,0,0,126.9,2.7
09.01.25 07:40,0.0,0,17.8,17.8,26.2,0,0,127.8,3.4
09.01.25 07:45,0.0,0,23,23,32.5,0,0,128.8,4
09.01.25 07:50,0.0,0,28.8,28.8,39.5,0,0,129.7,4.6
09.01.25 07:55,0.0,0,35.3,35.3,47.2,1,0,130.7,5.3
09.01.25 08:00,0.0,0,42.5,42.5,55.4,1,0,131.7,5.9
09.01.25 08:05,0.0,0,46.5,46.5,64.2,0,0,132.7,6.5
09.01.25 08:10,0.0,0,50,50,73.3,0,0,133.6,7.1
09.01.25 08:15,0.0,0,52.7,52.7,82.8,0,0,134.6,7.7
09.01.25 08:20,0.0,0,54.4,54.4,92.5,0,0,135.6,8.3
09.01.25 08:25,0.0,0,57.4,57.4,102.3,0,0,136.6,8.9
09.01.25 08:30,0.0,0,59.8,59.8,112.3,0,0,137.7,9.5
09.01.25 08:35,0.0,0,61.6,61.6,122.4,0,0,138.7,10
09.01.25 08:40,0.1,0,62.7,62.7,132.5,0,0,139.7,10.6
09.01.25 08:45,0.1,0,64.3,64.3,142.5,0,0,140.8,11.1
09.01.25 08:50,0.1,0,65.5,65.5,152.5,0,0,141.8,11.6
09.01.25 08:55,0.2,0,66.1,66.1,162.5,1,0,142.9,12.2
09.01.25 09:00,0.3,0,66.1,66.1,172.3,1,0,143.9,12.7
09.01.25 09:05,0.4,0,71.7,71.7,181.9,0,0,145,13.2
09.01.25 09:10,1.0,0,77.4,77.4,191.4,0,0,146.1,13.6
09.01.25 09:15,0.6,0,83.2,83.2,200.7,0,0,147.2,14.1
09.01.25 09:20,0.5,0,89.1,89.1,209.8,0,0,148.3,14.6
09.01.25 09:25,0.6,0,94.1,94.1,218.6,0,0,149.4,15
09.01.25 09:30,0.8,0,99,99,227.2,0,0,150.5,15.4
09.01.25 09:35,1.1,0,103.9,103.9,235.6,0,0,151.6,15.8
09.01.25 09:40,0.8,0,108.7,108.7,243.7,0,0,152.8,16.2
09.01.25 09:45,0.8,0,127.1,127.1,251.5,0,0,153.9,16.6
09.01.25 09:50,0.9,0,146.2,146.2,259.1,0,1,155.1,17
09.01.25 09:55,0.9,0,166,166,266.3,1,1,156.2,17.3
09.01.25 10:00,1.0,0,186.5,186.5,273.2,1,1,157.4,17.6
09.01.25 10:05,1.1,0,179.7,179.7,279.8,0,1,158.5,18
09.01.25 10:10,1.3,0,172.2,172.2,286.1,0,1,159.7,18.3
09.01.25 10:15,1.7,0,163.9,163.9,292,0,1,160.9,18.5
09.01.25 10:20,1.6,0,154.9,154.9,297.7,0,1,162.1,18.8
09.01.25 10:25,2.2,0,161.3,161.3,302.9,0,1,163.3,19.1
09.01.25 10:30,2.1,0,167.6,167.6,307.8,0,1,164.5,19.3
09.01.25 10:35,2.9,0,173.8,173.8,312.4,0,1,165.7,19.5
09.01.25 10:40,2.5,0,179.9,179.9,316.6,0,1,166.9,19.7
09.01.25 10:45,5.0,0,182.4,182.4,320.5,0,1,168.1,19.9
09.01.25 10:50,4.1,0,184.8,184.8,323.9,0,1,169.3,20.1
09.01.25 10:55,4.2,0,186.9,186.9,327,1,1,170.6,20.2
09.01.25 11:00,3.6,0,188.9,188.9,329.8,1,1,171.8,20.4
09.01.25 11:05,4.7,0,177.7,177.7,332.1,0,1,173,20.5
09.01.25 11:10,4.5,0,166.1,166.1,334.1,0,1,174.2,20.6
09.01.25 11:15,2.1,0,154.2,154.2,335.7,0,1,175.5,20.6
09.01.25 11:20,2.7,0,142,142,336.9,0,1,176.7,20.7
09.01.25 11:25,3.0,0,130.4,130.4,337.7,0,1,178,20.7
09.01.25 11:30,3.2,0,118.5,118.5,338.2,0,1,179.2,20.8
09.01.25 11:35,2.8,0,106.5,106.5,338.3,0,1,180.4,20.8
09.01.25 11:40,2.9,0,94.3,94.3,338,0,1,181.7,20.7
